2020-01-02 14.08.36[INFO][init(const char*)::<lambda(const std::experimental::filesystem::v1::__cxx11::path&, std::experimental::filesystem::v1::file_status)>]"topic_cache/test_topicxxx"
2020-01-02 14.08.36[INFO][Storage_t* get_db(const char*, unsigned int)]test_topicxxx
2020-01-02 14.08.36[INFO][Storage_t* get_db(const char*, unsigned int)]topic_cache/test_topicxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000072,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000073,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000074,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000075,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000076,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000077,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000078,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000079,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000080,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000081,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000082,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000083,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000084,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000085,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000086,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000087,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000088,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000089,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000090,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000091,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000092,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000093,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000094,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000095,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000096,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000097,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000098,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000099,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000100,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000101,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000102,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000103,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000104,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000105,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000106,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000107,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000108,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000109,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000110,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000111,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000112,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000113,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000114,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000115,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000116,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
2020-01-02 14.08.36[INFO][int opdb::cursor_(std::map<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<char> >&)]key:test_topicxxx00000000000000000117,val:xxxxxxxxxxxxxxxxxxxxxxxxxxx
